#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Ability 1,Ability 2,Hidden Ability,FrenchName,EV HP,EV Attack,EV Defense,EV Sp. Atk,EV Sp. Def,EV Speed
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,Chlorophyll,,Run Away,Mystherbe,0,0,0,1,0,0
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,Chlorophyll,,Stench,Ortide,0,0,0,2,0,0
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,Chlorophyll,,Effect Spore,Rafflesia,0,0,0,3,0,0
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,Effect Spore,Dry Skin,Damp,Paras,0,1,0,0,0,0
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,Effect Spore,Dry Skin,Damp,Parasect,0,2,1,0,0,0
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,Compound Eyes,Tinted Lens,Run Away,Mimitoss,0,0,0,0,1,0
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,Shield Dust,Tinted Lens,Wonder Skin,Aéromite,0,0,0,1,0,1
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,Sand Veil,Arena Trap,Sand Force,Taupiqueur,0,0,0,0,0,1
51,Dugtrio,Ground,,425,35,100,50,50,70,120,1,False,Sand Veil,Arena Trap,Sand Force,Triopikeur,0,0,0,0,0,2
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,Pickup,Technician,Unnerve,Miaouss,0,0,0,0,0,1
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,Limber,Technician,Unnerve,Persian,0,0,0,0,0,2
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,Damp,Cloud Nine,Swift Swim,Psykokwak,0,0,0,1,0,0
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,Damp,Cloud Nine,Swift Swim,Akwakwak,0,0,0,2,0,0
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,Vital Spirit,Anger Point,Defiant,Férosinge,0,1,0,0,0,0
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,Vital Spirit,Anger Point,Defiant,Colossinge,0,2,0,0,0,0
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,Intimidate,Flash Fire,Justified,Caninos,0,1,0,0,0,0
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,Intimidate,Flash Fire,Justified,Arcanin,0,2,0,0,0,0
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,Water Absorb,Damp,Swift Swim,Ptitard,0,0,0,0,0,1
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,Water Absorb,Damp,Swift Swim,Têtarte,0,0,0,0,0,2
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,Water Absorb,Damp,Swift Swim,Tartard,0,0,3,0,0,0
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,Synchronize,Inner Focus,Magic Guard,Abra,0,0,0,1,0,0
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,Synchronize,Inner Focus,Magic Guard,Kadabra,0,0,0,2,0,0
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,Synchronize,Inner Focus,Magic Guard,Alakazam,0,0,0,3,0,0
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,Guts,No Guard,Steadfast,Machoc,0,1,0,0,0,0
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,Guts,No Guard,Steadfast,Machopeur,0,2,0,0,0,0
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,Guts,No Guard,Steadfast,Mackogneur,0,3,0,0,0,0
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,Chlorophyll,,Gluttony,Chétiflor,0,1,0,0,0,0
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,Chlorophyll,,Gluttony,Boustiflor,0,2,0,0,0,0
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,Chlorophyll,,Gluttony,Empiflor,0,3,0,0,0,0
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,Clear Body,Liquid Ooze,Rain Dish,Tentacool,0,0,0,0,1,0
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,Clear Body,Liquid Ooze,Rain Dish,Tentacruel,0,0,0,0,2,0
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,Rock Head,Sturdy,Sand Veil,Racaillou,0,0,1,0,0,0
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,Rock Head,Sturdy,Sand Veil,Gravalanch,0,0,2,0,0,0
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,Rock Head,Sturdy,Sand Veil,Grolem,0,0,3,0,0,0
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,Run Away,Flash Fire,Flame Body,Ponyta,0,0,0,0,0,1
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,Run Away,Flash Fire,Flame Body,Galopa,0,0,0,0,0,2
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,Oblivious,Own Tempo,Regenerator,Ramoloss,1,0,0,0,0,0
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,Oblivious,Own Tempo,Regenerator,Flagadoss,0,0,2,0,0,0
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,Magnet Pull,Sturdy,Analytic,Magnéti,0,0,0,1,0,0
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,Magnet Pull,Sturdy,Analytic,Magnéton,0,0,0,2,0,0
83,Farfetchd,Normal,Flying,377,52,90,55,58,62,60,1,False,Keen Eye,Inner Focus,Defiant,Canarticho,0,1,0,0,0,0
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,Run Away,Early Bird,Tangled Feet,Doduo,0,1,0,0,0,0
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,False,Run Away,Early Bird,Tangled Feet,Dodrio,0,2,0,0,0,0
86,Seel,Water,,325,65,45,55,45,70,45,1,False,Thick Fat,Hydration,Ice Body,Otaria,0,0,0,0,1,0
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,Thick Fat,Hydration,Ice Body,Lamantine,0,0,0,0,2,0
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,Stench,Sticky Hold,Poison Touch,Tadmorv,1,0,0,0,0,0
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,Stench,Sticky Hold,Poison Touch,Grotadmorv,1,1,0,0,0,0
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,Shell Armor,Skill Link,Overcoat,Kokiyas,0,0,1,0,0,0
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,Shell Armor,Skill Link,Overcoat,Crustabri,0,0,2,0,0,0
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,Levitate,,,Fantominus,0,0,0,1,0,0
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,Levitate,,,Spectrum,0,0,0,2,0,0
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,Cursed Body,,,Ectoplasma,0,0,0,3,0,0
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,Rock Head,Sturdy,Weak Armor,Onix,0,0,1,0,0,0
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,Insomnia,Forewarn,Inner Focus,Soporifik,0,0,0,0,1,0
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,Insomnia,Forewarn,Inner Focus,Hypnomade,0,0,0,0,2,0
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,Hyper Cutter,Shell Armor,Sheer Force,Krabby,0,1,0,0,0,0
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,Hyper Cutter,Shell Armor,Sheer Force,Krabboss,0,2,0,0,0,0
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,Soundproof,Static,Aftermath,Voltorbe,0,0,0,0,0,1
101,Electrode,Electric,,490,60,50,70,80,80,150,1,False,Soundproof,Static,Aftermath,Électrode,0,0,0,0,0,2
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,Chlorophyll,,Harvest,Noeunoeuf,0,0,1,0,0,0
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,1,False,Chlorophyll,,Harvest,Noadkoko,0,0,0,2,0,0
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,Rock Head,Lightning Rod,Battle Armor,Osselait,0,0,1,0,0,0
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,Rock Head,Lightning Rod,Battle Armor,Ossatueur,0,0,2,0,0,0
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,Limber,Reckless,Unburden,Kicklee,0,2,0,0,0,0
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,Keen Eye,Iron Fist,Inner Focus,Tygnon,0,0,0,0,2,0
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,Own Tempo,Oblivious,Cloud Nine,Excelangue,2,0,0,0,0,0
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,Levitate,Neutralizing Gas,Stench,Smogo,0,0,1,0,0,0
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,Levitate,Neutralizing Gas,Stench,Smogogo,0,0,2,0,0,0
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,Lightning Rod,Rock Head,Reckless,Rhinocorne,0,0,1,0,0,0
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,Lightning Rod,Rock Head,Reckless,Rhinoféros,0,2,0,0,0,0
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,Natural Cure,Serene Grace,Healer,Leveinard,2,0,0,0,0,0
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,Chlorophyll,Leaf Guard,Regenerator,Saquedeneu,0,0,1,0,0,0
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,Early Bird,Scrappy,Inner Focus,Kangourex,2,0,0,0,0,0
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,Swift Swim,Sniper,Damp,Hypotrempe,0,0,0,1,0,0
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,Poison Point,Sniper,Damp,Hypocéan,0,0,1,1,0,0
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,Swift Swim,Water Veil,Lightning Rod,Poissirène,0,1,0,0,0,0
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,Swift Swim,Water Veil,Lightning Rod,Poissoroy,0,2,0,0,0,0
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,Illuminate,Natural Cure,Analytic,Stari,0,0,0,0,0,1
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,Illuminate,Natural Cure,Analytic,Staross,0,0,0,0,0,2
122,Mr-mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,Soundproof,Filter,Technician,M. Mime,0,0,0,0,2,0
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,Swarm,Technician,Steadfast,Insécateur,0,1,0,0,0,0
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,Oblivious,Forewarn,Dry Skin,Lippoutou,0,0,0,2,0,0
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,Static,,Vital Spirit,Élektek,0,0,0,0,0,2
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,Flame Body,,Vital Spirit,Magmar,0,0,0,2,0,0
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,Hyper Cutter,Mold Breaker,Moxie,Scarabrute,0,2,0,0,0,0
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,Intimidate,Anger Point,Sheer Force,Tauros,0,1,0,0,0,1
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,Swift Swim,,Rattled,Magicarpe,0,0,0,0,0,1
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,Intimidate,,Moxie,Léviator,0,2,0,0,0,0
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,Water Absorb,Shell Armor,Hydration,Lokhlass,2,0,0,0,0,0
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,Limber,,Imposter,Métamorph,1,0,0,0,0,0
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,Run Away,Adaptability,Anticipation,Évoli,0,0,0,0,1,0
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,Water Absorb,,Hydration,Aquali,2,0,0,0,0,0
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,Volt Absorb,,Quick Feet,Voltali,0,0,0,0,0,2
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,Flash Fire,,Guts,Pyroli,0,2,0,0,0,0
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,Trace,Download,Analytic,Porygon,0,0,0,1,0,0
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,Swift Swim,Shell Armor,Weak Armor,Amonita,0,0,1,0,0,0
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,Swift Swim,Shell Armor,Weak Armor,Amonistar,0,0,2,0,0,0
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,Swift Swim,Battle Armor,Weak Armor,Kabuto,0,0,1,0,0,0
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,Swift Swim,Battle Armor,Weak Armor,Kabutops,0,2,0,0,0,0
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,Rock Head,Pressure,Unnerve,Ptéra,0,0,0,0,0,2
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,Immunity,Thick Fat,Gluttony,Ronflex,2,0,0,0,0,0
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,Pressure,,Snow Cloak,Artikodin,0,0,0,0,3,0
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,Pressure,,Static,Électhor,0,0,0,3,0,0
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,Pressure,,Flame Body,Sulfura,0,0,0,3,0,0
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,Shed Skin,,Marvel Scale,Minidraco,0,1,0,0,0,0
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,Shed Skin,,Marvel Scale,Draco,0,2,0,0,0,0
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,Inner Focus,,Multiscale,Dracolosse,0,3,0,0,0,0
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,Pressure,,Unnerve,Mewtwo,0,0,0,3,0,0
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,Synchronize,,,Mew,3,0,0,0,0,0
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,Overgrow,,Leaf Guard,Germignon,0,0,0,0,1,0
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,Overgrow,,Leaf Guard,Macronium,0,0,1,0,1,0
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,Overgrow,,Leaf Guard,Méganium,0,0,1,0,2,0
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,Blaze,,Flash Fire,Héricendre,0,0,0,0,0,1
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,Blaze,,Flash Fire,Feurisson,0,0,0,1,0,1
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,Blaze,,Flash Fire,Typhlosion,0,0,0,3,0,0
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,Torrent,,Sheer Force,Kaiminus,0,1,0,0,0,0
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,Torrent,,Sheer Force,Crocrodil,0,1,1,0,0,0
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,Torrent,,Sheer Force,Aligatueur,0,2,1,0,0,0
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,Run Away,Keen Eye,Frisk,Fouinette,0,1,0,0,0,0
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,Run Away,Keen Eye,Frisk,Fouinar,0,0,0,0,0,2
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,Insomnia,Keen Eye,Tinted Lens,Hoothoot,1,0,0,0,0,0
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,2,False,Insomnia,Keen Eye,Tinted Lens,Noarfang,2,0,0,0,0,0
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,Swarm,Early Bird,Rattled,Coxy,0,0,0,0,1,0
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,Swarm,Early Bird,Iron Fist,Coxyclaque,0,0,0,0,2,0
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,Swarm,Insomnia,Sniper,Mimigal,0,1,0,0,0,0
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,2,False,Swarm,Insomnia,Sniper,Migalos,0,2,0,0,0,0
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,Inner Focus,,Infiltrator,Nostenfer,0,0,0,0,0,3
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,Volt Absorb,Illuminate,Water Absorb,Loupio,1,0,0,0,0,0
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,Volt Absorb,Illuminate,Water Absorb,Lanturn,2,0,0,0,0,0
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,Static,,Lightning Rod,Pichu,0,0,0,0,0,1
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,Cute Charm,Magic Guard,Friend Guard,Mélo,0,0,0,0,1,0
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,Cute Charm,Competitive,Friend Guard,Toudoudou,1,0,0,0,0,0
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,Hustle,Serene Grace,Super Luck,Togepi,0,0,0,0,1,0
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,Hustle,Serene Grace,Super Luck,Togetic,0,0,0,0,2,0
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,Synchronize,Early Bird,Magic Bounce,Natu,0,0,0,1,0,0
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,Synchronize,Early Bird,Magic Bounce,Xatu,0,0,0,1,0,1
179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,Static,,Plus,Wattouat,0,0,0,1,0,0
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,Static,,Plus,Lainergie,0,0,0,2,0,0
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,Static,,Plus,Pharamp,0,0,0,3,0,0
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,Chlorophyll,,Healer,Joliflor,0,0,0,0,3,0
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,Thick Fat,Huge Power,Sap Sipper,Marill,2,0,0,0,0,0
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,Thick Fat,Huge Power,Sap Sipper,Azumarill,3,0,0,0,0,0
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,Sturdy,Rock Head,Rattled,Simularbre,0,0,2,0,0,0
186,Politoed,Water,,500,90,75,75,90,100,70,2,False,Water Absorb,Damp,Drizzle,Tarpaud,0,0,0,0,3,0
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,Chlorophyll,Leaf Guard,Infiltrator,Granivol,0,0,0,0,1,0
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,Chlorophyll,Leaf Guard,Infiltrator,Floravol,0,0,0,0,0,2
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,Chlorophyll,Leaf Guard,Infiltrator,Cotovol,0,0,0,0,0,3
190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,Run Away,Pickup,Skill Link,Capumain,0,0,0,0,0,1
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,Chlorophyll,Solar Power,Early Bird,Tournegrin,0,0,0,1,0,0
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,Chlorophyll,Solar Power,Early Bird,Héliatronc,0,0,0,2,0,0
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,Speed Boost,Compound Eyes,Frisk,Yanma,0,0,0,0,0,1
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,Damp,Water Absorb,Unaware,Axoloto,1,0,0,0,0,0
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,Damp,Water Absorb,Unaware,Maraiste,2,0,0,0,0,0
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,Synchronize,,Magic Bounce,Mentali,0,0,0,2,0,0
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,Synchronize,,Inner Focus,Noctali,0,0,0,0,2,0
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,Insomnia,Super Luck,Prankster,Cornèbre,0,0,0,0,0,1
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,Oblivious,Own Tempo,Regenerator,Roigada,0,0,0,0,2,0
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,Levitate,,,Feuforêve,0,0,0,0,1,0
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,Levitate,,,Zarbi,0,1,0,1,0,0
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,Shadow Tag,,Telepathy,Qulbutoké,2,0,0,0,0,0
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,Inner Focus,Early Bird,Sap Sipper,Girafarig,0,0,0,2,0,0
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,Sturdy,,Overcoat,Pomdepik,0,0,1,0,0,0
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,Sturdy,,Overcoat,Foretress,0,0,2,0,0,0
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,Serene Grace,Run Away,Rattled,Insolourdo,1,0,0,0,0,0
